reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AL|XP_043784261.1	AL	XP_043784261.1	LOC122710460	OG0009071	XM_043928326.1	275	345	XP_043784261.1 uncharacterized protein LOC122710460 [Apis laboriosa]
AL|XP_043784262.1	AL	XP_043784262.1	LOC122710463	OG0009173	XM_043928327.1	0	1179	XP_043784262.1 uncharacterized protein LOC122710463 [Apis laboriosa]
AL|XP_043784263.1	AL	XP_043784263.1	LOC122710466	OG0008115	XM_043928328.1	328	2706	XP_043784263.1 nucleolar protein 14 homolog [Apis laboriosa]
AL|XP_043784264.1	AL	XP_043784264.1	LOC122710467	OG0005783	XM_043928329.1	390	3774	XP_043784264.1 uncharacterized protein LOC122710467 isoform X1 [Apis laboriosa]
AL|XP_043784267.1	AL	XP_043784267.1	LOC122710465	OG0000747	XM_043928332.1	0	2991	XP_043784267.1 sodium/potassium-transporting ATPase subunit alpha-like [Apis laboriosa]
AL|XP_043784272.1	AL	XP_043784272.1	LOC122710468	OG0002228	XM_043928337.1	210	1164	XP_043784272.1 E3 ubiquitin-protein transferase MAEA [Apis laboriosa]
AL|XP_043784273.1	AL	XP_043784273.1	LOC122710469	OG0001664	XM_043928338.1	599	1431	XP_043784273.1 C-terminal-binding protein isoform X1 [Apis laboriosa]
AL|XP_043784278.1	AL	XP_043784278.1	LOC122710471	OG0005782	XM_043928343.1	125	1581	XP_043784278.1 aladin-like [Apis laboriosa]
AL|XP_043784279.1	AL	XP_043784279.1	LOC122710472	OG0008187	XM_043928344.1	275	1008	XP_043784279.1 probable 39S ribosomal protein L45, mitochondrial [Apis laboriosa]
AL|XP_043784280.1	AL	XP_043784280.1	LOC122710470	OG0001644	XM_043928345.1	0	876	XP_043784280.1 protein obstructor-E [Apis laboriosa]
AL|XP_043784281.1	AL	XP_043784281.1	LOC122710473	OG0008658	XM_043928346.1	743	2280	XP_043784281.1 ubiquitin thioesterase trabid [Apis laboriosa]
AL|XP_043784283.1	AL	XP_043784283.1	LOC122710474	OG0003635	XM_043928348.1	56	1041	XP_043784283.1 uncharacterized protein LOC122710474 [Apis laboriosa]
AL|XP_043784284.1	AL	XP_043784284.1	LOC122710475	OG0001236	XM_043928349.1	940	2274	XP_043784284.1 ATP-binding cassette sub-family D member [Apis laboriosa]
AL|XP_043784285.1	AL	XP_043784285.1	LOC122710476	OG0005781	XM_043928350.1	46	1941	XP_043784285.1 gastrula zinc finger protein XlCGF66.1-like isoform X1 [Apis laboriosa]
AL|XP_043784288.1	AL	XP_043784288.1	LOC122710477	OG0005785	XM_043928353.1	207	1521	XP_043784288.1 LOW QUALITY PROTEIN: protein glass-like [Apis laboriosa]
AL|XP_043784289.1	AL	XP_043784289.1	LOC122710479	OG0000097	XM_043928354.1	74	699	XP_043784289.1 cytochrome c oxidase assembly factor 7 homolog [Apis laboriosa]
AL|XP_043784290.1	AL	XP_043784290.1	LOC122710480	OG0000097	XM_043928355.1	77	693	XP_043784290.1 GILT-like protein 1 [Apis laboriosa]
AL|XP_043784291.1	AL	XP_043784291.1	LOC122710481	OG0005775	XM_043928356.1	135	2529	XP_043784291.1 LOW QUALITY PROTEIN: osmotic avoidance abnormal protein 3-like [Apis laboriosa]
AL|XP_043784292.1	AL	XP_043784292.1	LOC122710478		XM_043928357.1	322	585	XP_043784292.1 sodium/potassium-transporting ATPase subunit beta-2-like [Apis laboriosa]
AL|XP_043784293.1	AL	XP_043784293.1	LOC122710484	OG0002724	XM_043928358.1	0	1383	XP_043784293.1 glutamate receptor U1-like [Apis laboriosa]
AL|XP_043784294.1	AL	XP_043784294.1	LOC122710485	OG0001020	XM_043928359.1	778	1281	XP_043784294.1 octopamine receptor beta-1R-like [Apis laboriosa]
AL|XP_043784295.1	AL	XP_043784295.1	LOC122710486	OG0006763	XM_043928360.1	481	1158	XP_043784295.1 transcriptional activator protein Pur-beta isoform X1 [Apis laboriosa]
AL|XP_043784300.1	AL	XP_043784300.1	LOC122710488	OG0005778	XM_043928365.1	361	2997	XP_043784300.1 NADPH-dependent diflavin oxidoreductase 1-like [Apis laboriosa]
AL|XP_043784301.1	AL	XP_043784301.1	LOC122710490	OG0001069	XM_043928366.1	0	8187	XP_043784301.1 fibrillin-1 [Apis laboriosa]
AL|XP_043784302.1	AL	XP_043784302.1	LOC122710491	OG0000739	XM_043928367.1	1528	4323	XP_043784302.1 phospholipid-transporting ATPase ID isoform X1 [Apis laboriosa]
AL|XP_043784303.1	AL	XP_043784303.1	LOC122710464	OG0007893	XM_043928368.1	134	945	XP_043784303.1 eukaryotic translation initiation factor 2 subunit 2 [Apis laboriosa]
AL|XP_043784304.1	AL	XP_043784304.1	LOC122710487	OG0008440	XM_043928369.1	1267	4419	XP_043784304.1 ras GTPase-activating protein nGAP isoform X1 [Apis laboriosa]
AL|XP_043784315.1	AL	XP_043784315.1	LOC122710492	OG0004055	XM_043928380.1	214	3471	XP_043784315.1 3'-5' RNA helicase YTHDC2-like [Apis laboriosa]
AL|XP_043784316.1	AL	XP_043784316.1	LOC122710493	OG0004052	XM_043928381.1	192	6300	XP_043784316.1 protein PF14_0175-like isoform X1 [Apis laboriosa]
AL|XP_043784319.1	AL	XP_043784319.1	LOC122710494	OG0001199	XM_043928384.1	324	3906	XP_043784319.1 ATPase family AAA domain-containing protein 2-like isoform X1 [Apis laboriosa]
AL|XP_043784321.1	AL	XP_043784321.1	LOC122710495	OG0004065	XM_043928386.1	167	3645	XP_043784321.1 anillin isoform X1 [Apis laboriosa]
AL|XP_043784325.1	AL	XP_043784325.1	LOC122710496	OG0007635	XM_043928390.1	178	2994	XP_043784325.1 zinc finger RNA-binding protein isoform X1 [Apis laboriosa]
AL|XP_043784327.1	AL	XP_043784327.1	LOC122710497	OG0004805	XM_043928392.1	297	2793	XP_043784327.1 collagen alpha-3(IX) chain-like isoform X1 [Apis laboriosa]
AL|XP_043784330.1	AL	XP_043784330.1	LOC122710498	OG0004063	XM_043928395.1	15	2391	XP_043784330.1 LOW QUALITY PROTEIN: dystrobrevin beta-like [Apis laboriosa]
AL|XP_043784331.1	AL	XP_043784331.1	LOC122710499	OG0004054	XM_043928396.1	320	2382	XP_043784331.1 putative uncharacterized protein DDB_G0271606 [Apis laboriosa]
AL|XP_043784333.1	AL	XP_043784333.1	LOC122710500	OG0001071	XM_043928398.1	233	2139	XP_043784333.1 hemocyte protein-glutamine gamma-glutamyltransferase-like [Apis laboriosa]
AL|XP_043784335.1	AL	XP_043784335.1	LOC122710501	OG0001114	XM_043928400.1	143	2055	XP_043784335.1 polyubiquitin-A [Apis laboriosa]
AL|XP_043784336.1	AL	XP_043784336.1	LOC122710502	OG0000366	XM_043928401.1	139	1974	XP_043784336.1 modular serine protease-like [Apis laboriosa]
AL|XP_043784337.1	AL	XP_043784337.1	LOC122710503	OG0004060	XM_043928402.1	402	1842	XP_043784337.1 GRAM domain-containing protein 2B-like isoform X1 [Apis laboriosa]
AL|XP_043784342.1	AL	XP_043784342.1	LOC122710505	OG0004061	XM_043928407.1	20	1563	XP_043784342.1 U3 small nucleolar RNA-associated protein 15 homolog [Apis laboriosa]
AL|XP_043784343.1	AL	XP_043784343.1	LOC122710506	OG0001703	XM_043928408.1	610	1392	XP_043784343.1 DDB1- and CUL4-associated factor 12 isoform X1 [Apis laboriosa]
AL|XP_043784345.1	AL	XP_043784345.1	LOC122710504	OG0008580	XM_043928410.1	464	1989	XP_043784345.1 uncharacterized protein LOC122710504 [Apis laboriosa]
AL|XP_043784346.1	AL	XP_043784346.1	LOC122710507	OG0009417	XM_043928411.1	102	1332	XP_043784346.1 serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like [Apis laboriosa]
AL|XP_043784347.1	AL	XP_043784347.1	LOC122710508	OG0008635	XM_043928412.1	272	1299	XP_043784347.1 protein prenyltransferase alpha subunit repeat-containing protein 1 [Apis laboriosa]
AL|XP_043784349.1	AL	XP_043784349.1	LOC122710509	OG0009013	XM_043928414.1	144	1227	XP_043784349.1 uncharacterized protein LOC122710509 [Apis laboriosa]
AL|XP_043784350.1	AL	XP_043784350.1	LOC122710510	OG0004053	XM_043928415.1	250	1218	XP_043784350.1 sialin-like [Apis laboriosa]
AL|XP_043784351.1	AL	XP_043784351.1	LOC122710511	OG0004062	XM_043928416.1	146	1155	XP_043784351.1 programmed cell death protein 7 [Apis laboriosa]
AL|XP_043784352.1	AL	XP_043784352.1	LOC122710512	OG0007713	XM_043928417.1	320	1005	XP_043784352.1 geranylgeranyl transferase type-1 subunit beta [Apis laboriosa]
AL|XP_043784355.1	AL	XP_043784355.1	LOC122710513	OG0008529	XM_043928420.1	0	816	XP_043784355.1 tumor necrosis factor alpha-induced protein 8-like protein isoform X2 [Apis laboriosa]
AL|XP_043784356.1	AL	XP_043784356.1	LOC122710515	OG0009787	XM_043928421.1	0	513	XP_043784356.1 leucine-rich repeat-containing protein 9-like [Apis laboriosa]
AL|XP_043784357.1	AL	XP_043784357.1	LOC122710514	OG0009475	XM_043928422.1	51	1197	XP_043784357.1 meiosis-specific nuclear structural protein 1-like [Apis laboriosa]
AL|XP_043784358.1	AL	XP_043784358.1	LOC122710516	OG0001509	XM_043928423.1	231	402	XP_043784358.1 flexible cuticle protein 12-like [Apis laboriosa]
AL|XP_043784359.1	AL	XP_043784359.1	LOC122710517	OG0009418	XM_043928424.1	226	354	XP_043784359.1 tubulin-specific chaperone A [Apis laboriosa]
AL|XP_043784361.1	AL	XP_043784361.1	LOC122710518	OG0000308	XM_043928426.1	33	303	XP_043784361.1 endocuticle structural protein SgAbd-6-like [Apis laboriosa]
AL|XP_043784362.1	AL	XP_043784362.1	LOC122710519	OG0001500	XM_043928427.1	0	318	XP_043784362.1 flexible cuticle protein 12-like [Apis laboriosa]
AL|XP_043784363.1	AL	XP_043784363.1	LOC122710524	OG0001068	XM_043928428.1	6	3414	XP_043784363.1 uncharacterized protein LOC122710524 [Apis laboriosa]
AL|XP_043784365.1	AL	XP_043784365.1	LOC122710523	OG0006858	XM_043928430.1	26	1050	XP_043784365.1 replication factor C subunit 2 [Apis laboriosa]
AL|XP_043784366.1	AL	XP_043784366.1	LOC122710525	OG0001578	XM_043928431.1	1	1014	XP_043784366.1 cyclin-dependent kinase 7 [Apis laboriosa]
AL|XP_043784367.1	AL	XP_043784367.1	LOC122710526	OG0006764	XM_043928432.1	0	1257	XP_043784367.1 tRNA pseudouridine synthase A isoform X1 [Apis laboriosa]
AL|XP_043784369.1	AL	XP_043784369.1	LOC122710527	OG0007752	XM_043928434.1	69	5541	XP_043784369.1 von Willebrand factor A domain-containing protein 8 [Apis laboriosa]
AL|XP_043784370.1	AL	XP_043784370.1	LOC122710528	OG0000232	XM_043928435.1	255	2145	XP_043784370.1 kinectin-like [Apis laboriosa]
AL|XP_043784371.1	AL	XP_043784371.1	LOC122710529	OG0008808	XM_043928436.1	274	2043	XP_043784371.1 leucine-rich repeat-containing protein 9-like [Apis laboriosa]
AL|XP_043784372.1	AL	XP_043784372.1	LOC122710530	OG0008834	XM_043928437.1	0	1965	XP_043784372.1 ATPase family AAA domain-containing protein 2-like [Apis laboriosa]
AL|XP_043784374.1	AL	XP_043784374.1	LOC122710531	OG0009906	XM_043928439.1	0	1050	XP_043784374.1 uncharacterized protein LOC122710531 [Apis laboriosa]
AL|XP_043784375.1	AL	XP_043784375.1	LOC122710532	OG0008038	XM_043928440.1	45	3363	XP_043784375.1 putative uncharacterized protein DDB_G0282129 [Apis laboriosa]
AL|XP_043784376.1	AL	XP_043784376.1	LOC122710533	OG0009012	XM_043928441.1	158	954	XP_043784376.1 uncharacterized protein LOC122710533 [Apis laboriosa]
AL|XP_043784377.1	AL	XP_043784377.1	LOC122710534	OG0000233	XM_043928442.1	46	759	XP_043784377.1 chymotrypsin-2-like [Apis laboriosa]
AL|XP_043784378.1	AL	XP_043784378.1	LOC122710535	OG0004059	XM_043928443.1	106	549	XP_043784378.1 uncharacterized protein LOC122710535 [Apis laboriosa]
AL|XP_043784379.1	AL	XP_043784379.1	LOC122710538	OG0001713	XM_043928444.1	722	6567	XP_043784379.1 disco-interacting protein 2 homolog A isoform X1 [Apis laboriosa]
AL|XP_043784384.1	AL	XP_043784384.1	LOC122710291	OG0003203	XM_043928449.1	138	3495	XP_043784384.1 endoplasmic reticulum transmembrane helix translocase [Apis laboriosa]
AL|XP_043784390.1	AL	XP_043784390.1	LOC122710542	OG0000914	XM_043928455.1	837	1899	XP_043784390.1 tyrosine kinase receptor Cad96Ca [Apis laboriosa]
AL|XP_043784391.1	AL	XP_043784391.1	LOC122710544	OG0007467	XM_043928456.1	129	1296	XP_043784391.1 splicing factor U2AF 50 kDa subunit isoform X1 [Apis laboriosa]
AL|XP_043784394.1	AL	XP_043784394.1	LOC122710546	OG0006124	XM_043928459.1	309	4863	XP_043784394.1 laminin subunit gamma-1 [Apis laboriosa]
AL|XP_043784396.1	AL	XP_043784396.1	LOC122710548	OG0000304	XM_043928461.1	413	840	XP_043784396.1 syntaxin-6 isoform X1 [Apis laboriosa]
AL|XP_043784398.1	AL	XP_043784398.1	LOC122710549	OG0003690	XM_043928463.1	117	3078	XP_043784398.1 protein nervous wreck isoform X1 [Apis laboriosa]
AL|XP_043784402.1	AL	XP_043784402.1	LOC122710550	OG0008502	XM_043928467.1	199	762	XP_043784402.1 3-hydroxyacyl-CoA dehydrogenase type-2-like [Apis laboriosa]
AL|XP_043784403.1	AL	XP_043784403.1	LOC122710551	OG0004135	XM_043928468.1	355	2658	XP_043784403.1 interaptin [Apis laboriosa]
AL|XP_043784406.1	AL	XP_043784406.1	LOC122710552	OG0004109	XM_043928471.1	3	2115	XP_043784406.1 E3 ubiquitin-protein ligase LRSAM1-like isoform X3 [Apis laboriosa]
AL|XP_043784407.1	AL	XP_043784407.1	LOC122710553	OG0000304	XM_043928472.1	134	1053	XP_043784407.1 gamma-soluble NSF attachment protein-like [Apis laboriosa]
AL|XP_043784408.1	AL	XP_043784408.1	LOC122710554	OG0001598	XM_043928473.1	307	387	XP_043784408.1 DNA polymerase epsilon subunit 3 [Apis laboriosa]
AL|XP_043784409.1	AL	XP_043784409.1	LOC122710555	OG0004136	XM_043928474.1	138	2631	XP_043784409.1 uncharacterized protein C1orf112 homolog [Apis laboriosa]
AL|XP_043784410.1	AL	XP_043784410.1	LOC122710556	OG0009019	XM_043928475.1	306	723	XP_043784410.1 kielin/chordin-like protein isoform X1 [Apis laboriosa]
AL|XP_043784412.1	AL	XP_043784412.1	LOC122710557	OG0009490	XM_043928477.1	0	1488	XP_043784412.1 uncharacterized protein LOC122710557 [Apis laboriosa]
AL|XP_043784413.1	AL	XP_043784413.1	LOC122710558	OG0004143	XM_043928478.1	375	831	XP_043784413.1 uncharacterized protein LOC122710558 [Apis laboriosa]
AL|XP_043784414.1	AL	XP_043784414.1	LOC122710559	OG0008622	XM_043928479.1	413	3285	XP_043784414.1 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit isoform X1 [Apis laboriosa]
AL|XP_043784416.1	AL	XP_043784416.1	LOC122710561	OG0006844	XM_043928481.1	246	4638	XP_043784416.1 ATP-dependent DNA helicase Q4 [Apis laboriosa]
AL|XP_043784417.1	AL	XP_043784417.1	LOC122710562	OG0003693	XM_043928482.1	243	501	XP_043784417.1 uncharacterized protein LOC122710562 [Apis laboriosa]
AL|XP_043784418.1	AL	XP_043784418.1	LOC122710563	OG0007977	XM_043928483.1	516	3345	XP_043784418.1 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 [Apis laboriosa]
AL|XP_043784419.1	AL	XP_043784419.1	LOC122710560	OG0000197	XM_043928484.1	0	1764	XP_043784419.1 protein O-mannosyl-transferase TMTC1-like, partial [Apis laboriosa]
AL|XP_043784420.1	AL	XP_043784420.1	LOC122710564	OG0001833	XM_043928485.1	246	1764	XP_043784420.1 cytosolic endo-beta-N-acetylglucosaminidase [Apis laboriosa]
AL|XP_043784422.1	AL	XP_043784422.1	LOC122710565	OG0004145	XM_043928487.1	196	1269	XP_043784422.1 uncharacterized protein LOC122710565 [Apis laboriosa]
AL|XP_043784423.1	AL	XP_043784423.1	LOC122710540	OG0002523	XM_043928488.1	23	2655	XP_043784423.1 S1 RNA-binding domain-containing protein 1 [Apis laboriosa]
AL|XP_043784424.1	AL	XP_043784424.1	LOC122710568	OG0000142	XM_043928489.1	398	3708	XP_043784424.1 zinc finger protein 585A-like [Apis laboriosa]
AL|XP_043784425.1	AL	XP_043784425.1	LOC122710569	OG0007964	XM_043928490.1	314	2574	XP_043784425.1 serine/threonine-protein phosphatase 6 regulatory subunit 3 [Apis laboriosa]
AL|XP_043784428.1	AL	XP_043784428.1	LOC122710571	OG0003701	XM_043928493.1	101	273	XP_043784428.1 U6 snRNA-associated Sm-like protein LSm5 [Apis laboriosa]
AL|XP_043784429.1	AL	XP_043784429.1	LOC122710572	OG0006282	XM_043928494.1	727	948	XP_043784429.1 serine/threonine-protein kinase mos-like [Apis laboriosa]
AL|XP_043784430.1	AL	XP_043784430.1	LOC122710570	OG0009933	XM_043928495.1	456	483	XP_043784430.1 uncharacterized protein LOC122710570, partial [Apis laboriosa]
AL|XP_043784431.1	AL	XP_043784431.1	LOC122710574	OG0008433	XM_043928496.1	83	951	XP_043784431.1 geranylgeranyl pyrophosphate synthase isoform X1 [Apis laboriosa]
AL|XP_043784433.1	AL	XP_043784433.1	LOC122710575	OG0004123	XM_043928498.1	274	1191	XP_043784433.1 queuine tRNA-ribosyltransferase accessory subunit 2 [Apis laboriosa]
AL|XP_043784434.1	AL	XP_043784434.1	LOC122710576	OG0009017	XM_043928499.1	230	1164	XP_043784434.1 ZZ-type zinc finger-containing protein 3 [Apis laboriosa]
AL|XP_043784436.1	AL	XP_043784436.1	LOC122710578	OG0004141	XM_043928501.1	200	1146	XP_043784436.1 peptidyl-prolyl cis-trans isomerase FKBP8-like isoform X1 [Apis laboriosa]
AL|XP_043784438.1	AL	XP_043784438.1	LOC122710580	OG0006717	XM_043928503.1	67	618	XP_043784438.1 peptidyl-prolyl cis-trans isomerase 5 [Apis laboriosa]
AL|XP_043784439.1	AL	XP_043784439.1	LOC122710581	OG0006874	XM_043928504.1	163	1452	XP_043784439.1 rho GTPase-activating protein 1-like isoform X1 [Apis laboriosa]
AL|XP_043784441.1	AL	XP_043784441.1	LOC122710582	OG0000533	XM_043928506.1	113	4275	XP_043784441.1 uncharacterized protein LOC122710582 [Apis laboriosa]
AL|XP_043784442.1	AL	XP_043784442.1	LOC122710583	OG0008733	XM_043928507.1	162	990	XP_043784442.1 serine-threonine kinase receptor-associated protein [Apis laboriosa]
AL|XP_043784443.1	AL	XP_043784443.1	LOC122710584	OG0004142	XM_043928508.1	82	1287	XP_043784443.1 uncharacterized protein LOC122710584 isoform X1 [Apis laboriosa]
AL|XP_043784447.1	AL	XP_043784447.1	LOC122710586	OG0001275	XM_043928512.1	1061	1632	XP_043784447.1 la-related protein 6 [Apis laboriosa]
AL|XP_043784448.1	AL	XP_043784448.1	LOC122710587	OG0008105	XM_043928513.1	102	3435	XP_043784448.1 lethal(2) giant larvae protein homolog 1 isoform X1 [Apis laboriosa]
AL|XP_043784449.1	AL	XP_043784449.1	LOC122710585	OG0002154	XM_043928514.1	480	3921	XP_043784449.1 trichohyalin [Apis laboriosa]
AL|XP_043784453.1	AL	XP_043784453.1	LOC122710588	OG0003703	XM_043928518.1	203	969	XP_043784453.1 nudC domain-containing protein 3 [Apis laboriosa]
AL|XP_043784454.1	AL	XP_043784454.1	LOC122710589	OG0003702	XM_043928519.1	7	864	XP_043784454.1 uncharacterized protein LOC122710589 isoform X1 [Apis laboriosa]
AL|XP_043784456.1	AL	XP_043784456.1	LOC122710590	OG0003704	XM_043928521.1	479	357	XP_043784456.1 protein C10 [Apis laboriosa]
AL|XP_043784457.1	AL	XP_043784457.1	LOC122710591	OG0001295	XM_043928522.1	703	3906	XP_043784457.1 anion exchange protein 2 isoform X1 [Apis laboriosa]
AL|XP_043784463.1	AL	XP_043784463.1	LOC122710592	OG0002511	XM_043928528.1	0	807	XP_043784463.1 uncharacterized protein LOC122710592 [Apis laboriosa]
AL|XP_043784470.1	AL	XP_043784470.1	LOC122710593	OG0006011	XM_043928535.1	482	1740	XP_043784470.1 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9 [Apis laboriosa]
AL|XP_043784471.1	AL	XP_043784471.1	LOC122710594	OG0006549	XM_043928536.1	170	2664	XP_043784471.1 GPI inositol-deacylase isoform X1 [Apis laboriosa]
AL|XP_043784477.1	AL	XP_043784477.1	LOC122710596	OG0007691	XM_043928542.1	48	513	XP_043784477.1 nucleoside diphosphate kinase [Apis laboriosa]
AL|XP_043784478.1	AL	XP_043784478.1	LOC122710595	OG0000767	XM_043928543.1	455	2340	XP_043784478.1 long-chain fatty acid transport protein 4 [Apis laboriosa]
AL|XP_043784479.1	AL	XP_043784479.1	LOC122710597	OG0006790	XM_043928544.1	415	666	XP_043784479.1 ras-related protein Rab-21 [Apis laboriosa]
AL|XP_043784480.1	AL	XP_043784480.1	LOC122710598	OG0004114	XM_043928545.1	146	3366	XP_043784480.1 breast cancer type 2 susceptibility protein-like [Apis laboriosa]
AL|XP_043784481.1	AL	XP_043784481.1	LOC122710599	OG0000613	XM_043928546.1	504	1281	XP_043784481.1 dipeptidase 1-like [Apis laboriosa]
AL|XP_043784482.1	AL	XP_043784482.1	LOC122710600	OG0004111	XM_043928547.1	816	1455	XP_043784482.1 b(0,+)-type amino acid transporter 1-like [Apis laboriosa]
AL|XP_043784483.1	AL	XP_043784483.1	LOC122710601	OG0001630	XM_043928548.1	63	1881	XP_043784483.1 conserved oligomeric Golgi complex subunit 6 isoform X1 [Apis laboriosa]
AL|XP_043784485.1	AL	XP_043784485.1	LOC122710602	OG0000528	XM_043928550.1	716	2007	XP_043784485.1 sodium-independent sulfate anion transporter-like [Apis laboriosa]
AL|XP_043784487.1	AL	XP_043784487.1	LOC122710604	OG0008045	XM_043928552.1	85	2229	XP_043784487.1 anaphase-promoting complex subunit 5 [Apis laboriosa]
AL|XP_043784488.1	AL	XP_043784488.1	LOC122710605	OG0008989	XM_043928553.1	24	1434	XP_043784488.1 BTB/POZ domain-containing protein KCTD20 isoform X1 [Apis laboriosa]
AL|XP_043784489.1	AL	XP_043784489.1	LOC122710603	OG0004883	XM_043928554.1	322	1302	XP_043784489.1 TELO2-interacting protein 2-like [Apis laboriosa]
AL|XP_043784491.1	AL	XP_043784491.1	LOC122710606	OG0001169	XM_043928556.1	0	2781	XP_043784491.1 valine--tRNA ligase, mitochondrial [Apis laboriosa]
AL|XP_043784492.1	AL	XP_043784492.1	LOC122710607	OG0003695	XM_043928557.1	29	732	XP_043784492.1 L-xylulose reductase [Apis laboriosa]
AL|XP_043784493.1	AL	XP_043784493.1	LOC122710608	OG0004138	XM_043928558.1	439	2664	XP_043784493.1 uncharacterized protein LOC122710608 isoform X1 [Apis laboriosa]
AL|XP_043784498.1	AL	XP_043784498.1	LOC122710611	OG0008586	XM_043928563.1	131	522	XP_043784498.1 myosin regulatory light chain sqh [Apis laboriosa]
AL|XP_043784499.1	AL	XP_043784499.1	LOC122710612	OG0008513	XM_043928564.1	15	1542	XP_043784499.1 potassium voltage-gated channel protein Shaker isoform X1 [Apis laboriosa]
AL|XP_043784502.1	AL	XP_043784502.1	LOC122710610	OG0001266	XM_043928567.1	261	1431	XP_043784502.1 abl interactor 2 isoform X1 [Apis laboriosa]
